--------------------------------
Seed:  42
Device Assigned to:  cuda
Data Directory:  ./Data
Loading data....................
(232737, 3, 66, 200)

Loaded:
Training: 232737 Images, 232737 Targets
Validation: 10000 Images, 10000 Targets
Each image has shape:(3, 66, 200)

--------------------------------
Total No. of Trainable Parameters:  23510081

#### Started Training ####
/mnt/c/Users/iambi/Desktop/Regressor/env/lib/python3.8/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Ep. 122/1000:   Train: ABL 0.061, Acc. 94.13%   Val: ABL 0.19, Acc. 95.04%      Time: 438.7 s
Ep. 123/1000:   Train: ABL 0.102, Acc. 93.42%   Val: ABL 0.199, Acc. 93.1%      Time: 438.9 s
Ep. 124/1000:   Train: ABL 0.07, Acc. 93.59%    Val: ABL 0.206, Acc. 93.27%     Time: 438.8 s
Ep. 125/1000:   Train: ABL 0.039, Acc. 94.59%   Val: ABL 0.195, Acc. 94.22%     Time: 438.1 s
Ep. 126/1000:   Train: ABL 0.038, Acc. 94.87%   Val: ABL 0.159, Acc. 93.65%     Time: 438.6 s
Ep. 127/1000:   Train: ABL 0.045, Acc. 94.75%   Val: ABL 0.168, Acc. 95.3%      Time: 439.5 s
Ep. 128/1000:   Train: ABL 0.054, Acc. 94.45%   Val: ABL 0.291, Acc. 94.33%     Time: 438.6 s
Ep. 129/1000:   Train: ABL 0.07, Acc. 93.96%    Val: ABL 0.231, Acc. 94.21%     Time: 438.6 s
Ep. 130/1000:   Train: ABL 0.038, Acc. 94.98%   Val: ABL 0.212, Acc. 94.45%     Time: 439.0 s
Ep. 131/1000:   Train: ABL 0.041, Acc. 94.93%   Val: ABL 0.177, Acc. 94.64%     Time: 439.1 s
Ep. 132/1000:   Train: ABL 0.075, Acc. 93.95%   Val: ABL 0.158, Acc. 94.64%     Time: 438.5 s
Ep. 133/1000:   Train: ABL 0.04, Acc. 95.11%    Val: ABL 0.244, Acc. 94.67%     Time: 438.4 s
Ep. 134/1000:   Train: ABL 0.037, Acc. 95.03%   Val: ABL 0.167, Acc. 95.03%     Time: 438.8 s
Ep. 135/1000:   Train: ABL 0.035, Acc. 95.31%   Val: ABL 0.209, Acc. 95.8%      Time: 438.6 s
